is_canceled,lead_time,arrival_date_year,arrival_date_month,arrival_date_week_number,arrival_date_day_of_month,stays_in_weekend_nights,stays_in_week_nights,adults,children,babies,meal,country,market_segment,distribution_channel,is_repeated_guest,previous_cancellations,previous_bookings_not_canceled,reserved_room_type,assigned_room_type,booking_changes,deposit_type,agent,company,days_in_waiting_list,customer_type,adr,required_car_parking_spaces,total_of_special_requests,reservation_status,reservation_status_date,name,email,phone-number,credit_card
0,6,2015,July,27,1,0,2,1,0,0,HB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,6,,0,Transient,0,0,0,Check-Out,7/3/2015,Elizabeth Ross,Ross.Elizabeth@att.com,313-076-6204,************4378
1,88,2015,July,27,1,0,4,2,0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9,,0,Transient,76.5,0,1,Canceled,7/1/2015,Adam Aguilar,AAguilar@comcast.net,796-281-4143,************2797
1,65,2015,July,27,1,0,4,1,0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9,,0,Transient,68,0,1,Canceled,4/30/2015,Mark Keller,Mark_Keller@hotmail.com,227-821-0234,************9384
1,92,2015,July,27,1,2,4,2,0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9,,0,Transient,76.5,0,2,Canceled,6/23/2015,Sarah Scott,SScott88@aol.com,443-817-6604,************7979
1,100,2015,July,27,2,0,2,2,0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9,,0,Transient,76.5,0,1,Canceled,4/2/2015,Misty Perry,Misty.P68@att.com,801-946-4619,************4844
1,79,2015,July,27,2,0,3,2,0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9,,0,Transient,76.5,0,1,Canceled,6/25/2015,Janice Myers DVM,DVM.Janice@xfinity.com,316-066-4123,************5853
0,3,2015,July,27,2,0,3,1,0,0,HB,PRT,Groups,TA/TO,0,0,0,A,A,1,No Deposit,1,,0,Transient-Party,58.67,0,0,Check-Out,7/5/2015,Mr. Christopher Davis MD,Mr._M@aol.com,855-025-3048,************4574
1,63,2015,July,27,2,1,3,1,0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9,,0,Transient,68,0,0,Canceled,6/25/2015,Christine Ramos,Ramos.Christine@aol.com,520-859-0884,************8735
1,62,2015,July,27,2,2,3,2,0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,8,,0,Transient,76.5,0,1,No-Show,7/2/2015,Tyler Campbell,Tyler_C12@aol.com,574-762-5737,************6895
1,62,2015,July,27,2,2,3,2,0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,8,,0,Transient,76.5,0,1,No-Show,7/2/2015,Shannon Harris,SHarris@outlook.com,926-067-1832,************5329
0,43,2015,July,27,3,0,2,2,0,0,HB,PRT,Groups,TA/TO,0,0,0,A,A,0,No Deposit,1,,0,Transient-Party,86,0,0,Check-Out,7/5/2015,Crystal Pierce,CrystalPierce93@zoho.com,672-975-9750,************1962
0,43,2015,July,27,3,0,2,2,0,0,HB,PRT,Groups,TA/TO,0,0,0,A,A,1,No Deposit,1,,0,Transient-Party,43,0,0,Check-Out,7/5/2015,Jeremy Wilcox,Jeremy_Wilcox@hotmail.com,100-100-0744,************4150
0,43,2015,July,27,3,0,2,2,0,0,HB,PRT,Groups,TA/TO,0,0,0,A,A,0,No Deposit,1,,0,Transient-Party,86,0,0,Check-Out,7/5/2015,Anna Melendez,Anna_M70@outlook.com,844-417-3641,************2464
0,4,2015,July,27,3,0,2,1,0,0,HB,PRT,Groups,TA/TO,0,0,0,A,A,0,No Deposit,1,,0,Transient-Party,63,0,0,Check-Out,7/5/2015,Craig West,West.Craig@xfinity.com,554-951-6602,************8915
1,43,2015,July,27,3,0,2,2,0,0,HB,PRT,Groups,TA/TO,0,0,0,A,A,0,No Deposit,1,,0,Transient-Party,86,0,0,Canceled,6/29/2015,Daniel Hinton,Daniel.Hinton@yahoo.com,406-146-0692,************2992
0,43,2015,July,27,3,0,2,1,0,0,HB,PRT,Groups,TA/TO,0,0,0,A,A,1,No Deposit,1,,0,Transient-Party,63,0,0,Check-Out,7/5/2015,Victor Gutierrez,Victor_Gutierrez@zoho.com,827-945-2949,************5521
1,43,2015,July,27,3,0,2,1,0,0,HB,PRT,Groups,TA/TO,0,0,0,A,A,0,No Deposit,1,,0,Transient-Party,63,0,0,Canceled,6/16/2015,Taylor Freeman,Taylor_F@protonmail.com,666-107-1867,************1559
0,43,2015,July,27,3,0,2,2,0,0,HB,PRT,Groups,TA/TO,0,0,0,A,A,0,No Deposit,1,,0,Transient-Party,86,0,0,Check-Out,7/5/2015,Michael Richardson,Michael.R@zoho.com,983-168-4711,************3857
0,43,2015,July,27,3,0,2,2,0,0,HB,PRT,Groups,TA/TO,0,0,0,A,A,0,No Deposit,1,,0,Transient-Party,86,0,0,Check-Out,7/5/2015,Chase Reynolds,Reynolds_Chase81@hotmail.com,635-301-2973,************3106
1,43,2015,July,27,3,0,2,1,0,0,HB,PRT,Groups,TA/TO,0,0,0,A,A,0,No Deposit,1,,0,Transient-Party,63,0,0,Canceled,6/29/2015,Margaret Barker,Margaret.Barker79@outlook.com,312-943-6480,************8224
1,43,2015,July,27,3,0,2,2,0,0,HB,PRT,Groups,TA/TO,0,0,0,A,A,0,No Deposit,1,,0,Transient-Party,86,0,0,Canceled,6/16/2015,Cindy Juarez,Cindy.J@xfinity.com,866-904-6234,************4896
1,97,2015,July,27,3,0,2,2,0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,13,,0,Transient,63.75,0,1,Canceled,6/30/2015,Dr. Veronica Patterson,Dr._P@gmail.com,347-588-4925,************4408
0,43,2015,July,27,3,0,2,2,0,0,HB,PRT,Groups,TA/TO,0,0,0,A,A,0,No Deposit,1,,0,Transient-Party,86,0,0,Check-Out,7/5/2015,Sheri Hayes,Sheri_Hayes31@yandex.com,118-828-3458,************4322
0,43,2015,July,27,3,0,2,2,0,0,HB,PRT,Groups,TA/TO,0,0,0,A,A,0,No Deposit,1,,0,Transient-Party,86,0,0,Check-Out,7/5/2015,Douglas Smith,Smith.Douglas@mail.com,508-143-4978,************2001
1,80,2015,July,27,3,1,2,2,0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9,,0,Transient,76.5,0,1,Canceled,4/17/2015,Christopher Young,Christopher.Young@comcast.net,618-993-8895,************5683
0,60,2015,July,27,3,2,5,2,0,0,SC,PRT,Online TA,TA/TO,0,0,0,A,A,1,No Deposit,11,,0,Transient,60.27,0,0,Check-Out,7/10/2015,Denise Ruiz,Ruiz_Denise@yahoo.com,191-929-8862,************4727
1,106,2015,July,27,4,1,1,1,0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9,,0,Transient,68,0,0,Canceled,6/1/2015,Amy Nichols,Nichols.Amy@comcast.net,396-787-9724,************7291
1,68,2015,July,27,4,2,1,1,0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9,,0,Transient,68,0,0,Canceled,6/23/2015,Matthew Weaver,Weaver.Matthew@yahoo.com,191-392-8132,************6307
1,92,2015,July,27,4,2,1,2,0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,A,1,No Deposit,9,,0,Transient,76.5,0,1,Canceled,6/15/2015,Jennifer Holmes,JHolmes@protonmail.com,742-431-3787,************6232
0,18,2015,July,27,4,2,2,1,0,0,BB,PRT,Groups,TA/TO,0,0,0,A,A,0,No Deposit,1,,0,Transient-Party,60,0,0,Check-Out,7/8/2015,Michelle Gill,MGill17@mail.com,768-599-1116,************9924
1,71,2015,July,28,5,2,1,2,0,0,SC,PRT,Online TA,TA/TO,0,0,0,A,A,1,No Deposit,11,,0,Transient,55.8,0,0,Canceled,6/30/2015,Mallory Pugh,MalloryPugh18@mail.com,574-590-3581,************6898
1,85,2015,July,28,5,2,1,2,0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,7,,0,Transient,52.36,0,0,Canceled,6/20/2015,Edward Jones,EJones@zoho.com,567-760-4075,************2735
1,92,2015,July,28,5,2,3,2,0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,7,,0,Transient,49.74,0,0,Canceled,7/3/2015,Kimberly Bates,KBates35@att.com,823-421-7841,************3074
1,75,2015,July,28,6,1,1,2,0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9,,0,Transient,76.5,0,1,Canceled,6/20/2015,Matthew Cruz,MCruz@mail.com,200-607-2852,************1312
1,92,2015,July,28,6,1,3,1,0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9,,0,Transient,68,0,2,Canceled,4/21/2015,Kelsey Miranda,Miranda.Kelsey@xfinity.com,212-543-6513,************3338
1,89,2015,July,28,6,1,4,1,0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9,,0,Transient,68,0,1,Canceled,6/20/2015,Austin Harmon,AustinHarmon@comcast.net,868-269-8322,************6491
1,100,2015,July,28,6,1,4,2,0,1,HB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,15,,0,Transient,93.6,0,2,Canceled,6/15/2015,Sharon Mason,Mason.Sharon@hotmail.com,272-866-9342,************9236
1,83,2015,July,28,6,2,5,2,0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9,,0,Transient,76.5,0,1,Canceled,5/22/2015,Kathryn Olson,Kathryn.Olson64@protonmail.com,389-311-5679,************3777
1,72,2015,July,28,6,3,6,2,0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9,,0,Transient,76.5,0,1,Canceled,6/25/2015,Jeffrey Miles,Jeffrey.M@gmail.com,708-038-8626,************8015
1,111,2015,July,28,6,1,2,2,0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9,,0,Transient,76.5,0,1,No-Show,7/6/2015,Beverly Hanna,Beverly.Hanna64@hotmail.com,586-898-1340,************9121
1,86,2015,July,28,6,1,3,2,0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9,,0,Transient,76.5,0,0,Canceled,6/17/2015,David Washington,David_W@gmail.com,721-070-5823,************3568
1,73,2015,July,28,7,0,4,2,0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,7,,0,Transient,68,0,0,Canceled,6/27/2015,James Reeves,James_R@protonmail.com,600-951-8717,************3146
1,92,2015,July,28,7,0,4,1,0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9,,0,Transient,68,0,0,Canceled,6/26/2015,Mariah Young,Young_Mariah91@yahoo.com,174-451-6389,************7902
1,55,2015,July,28,7,0,4,2,0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,A,1,No Deposit,9,,0,Transient-Party,81,0,2,Canceled,6/27/2015,Alicia Hill,Hill.Alicia84@outlook.com,680-527-2713,************4243
0,69,2015,July,28,7,0,2,2,1,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,13,,0,Transient,76.08,0,0,Check-Out,7/9/2015,John Mcneil,Mcneil.John@att.com,406-175-5320,************8793
